"Habitat","Oceanographic variable","NMDS1","NMDS2","R square","p-value"
"Rocky intertidal","SST_anom",-0.791254717925617,0.611486689438497,0.0447037813471811,0.082
"Rocky intertidal","SST_abs",-0.998033676159572,0.0626799908376725,0.0951361132144982,0.005
"Rocky intertidal","BEUTI_anom",0.698364965237246,-0.715741835670642,0.0452663307768054,0.089
"Rocky intertidal","BEUTI_abs",0.857574859007896,-0.514359175282786,0.0815678659393922,0.011
"Rocky intertidal","MOCI",-0.707351671439404,0.706861806092168,0.0226870449496627,0.294
"Rocky reef fishes","SST_anom",0.272842300626878,0.962058771067876,0.17089016948709,0.002
"Rocky reef fishes","SST_abs",0.717621950677088,0.696432865326165,0.176860507077806,0.002
"Rocky reef fishes","BEUTI_anom",-0.502555156472463,-0.864545149025161,0.0223451227282127,0.401
"Rocky reef fishes","BEUTI_abs",-0.929780601949321,-0.368114156531311,0.0334725303882863,0.257
"Rocky reef fishes","MOCI",0.231724903144452,0.972781357378262,0.286153044376212,0.001
"Rocky reef fishes","BT_anom",0.24773478548325,0.96882788773939,0.16047632022215,0.002
"Rocky reef fishes","BT_abs",0.136546898250636,0.990633607636108,0.117067551641545,0.009
"Kelp forest inverts and algae","SST_anom",-0.999621290804819,0.0275186295026961,0.0954057331651479,0.004
"Kelp forest inverts and algae","SST_abs",-0.983177515815662,-0.182652600295053,0.0397430118294114,0.077
"Kelp forest inverts and algae","BEUTI_anom",0.982737086883038,0.185007616234144,0.0340818148907562,0.128
"Kelp forest inverts and algae","BEUTI_abs",0.778934428907291,0.62710537827615,0.01854007692114,0.323
"Kelp forest inverts and algae","MOCI",-0.999971350578133,-0.00756954575555586,0.0706603301429667,0.009
"Kelp forest inverts and algae","BT_anom",-0.965546108892587,0.260232034158717,0.167975597214861,0.001
"Kelp forest inverts and algae","BT_abs",0.0123788869162749,0.999923378643941,0.141610307374414,0.001
"Kelp forest fishes","SST_anom",-0.846051818035146,-0.533100667040874,0.0641441550839108,0.016
"Kelp forest fishes","SST_abs",-0.962770508598697,0.270320083923867,0.0398330542841233,0.066
"Kelp forest fishes","BEUTI_anom",0.565603804435783,0.824677110393982,0.0507739941184868,0.029
"Kelp forest fishes","BEUTI_abs",0.770650104302935,0.637258516410628,0.0283568187897727,0.17
"Kelp forest fishes","MOCI",-0.650211545919755,-0.75975321358494,0.119775499125418,0.002
"Kelp forest fishes","BT_anom",-0.983868176757172,-0.17889497132261,0.0721936555456081,0.012
"Kelp forest fishes","BT_abs",0.184153291119881,0.982897535539548,0.00667570010999555,0.635
"Deep reef fishes","SST_anom",0.998940713236032,0.0460157738116737,0.0455286865643992,0.524
"Deep reef fishes","SST_abs",0.960157256106241,0.279460271857261,0.0828124713396134,0.292
"Deep reef fishes","BEUTI_anom",-0.9103123080128,-0.413922096390624,0.254158526212028,0.014
"Deep reef fishes","BEUTI_abs",-0.861999338843988,-0.506909400023838,0.267254890145891,0.016
"Deep reef fishes","MOCI",0.99873180032199,-0.0503467081902803,0.0216401672631607,0.726
"Deep reef fishes","BT_anom",0.675107293752962,-0.737719555062459,0.0260481538402719,0.699
"Deep reef fishes","BT_abs",-0.816794817258525,0.57692826807118,0.149719562932312,0.099
